Place,Location,Visitors (millions)
Walt Disney World Resort,"Orlando, Florida",45
Mall of America,"Bloomington, Minnesota",40
Times Square,"New York, New York",35
Las Vegas Strip,"Las Vegas, Nevada",31
National Mall and Memorial Parks,"Washington, D.C.",24
Disneyland Resort,"Anaheim, California",22.1
Faneuil Hall Marketplace,"Boston, Massachusetts",20
Fisherman's Wharf/Golden Gate Area,"San Francisco, California",14
Niagara Falls,New York,12
Great Smoky Mountains National Park,North Carolina and Tennessee,9.4
Navy Pier,"Chicago, Illinois",8.6
Lake Mead National Recreation Area,"Las Vegas, Nevada",7.6
Empire Mall,"Sioux Falls, South Dakota",7
Universal Orlando Resort,"Orlando, Florida",6.2
SeaWorld Orlando,"Orlando, Florida",6
San Antonio River Walk,"San Antonio, Texas",5.1
Salt Lake Temple,"Salt Lake City, Utah",5
Delaware Water Gap National Recreation Area,New Jersey and Pennsylvania,4.8
Universal Studios Hollywood,"Universal City, California",4.7
Metropolitan Museum of Art,"New York City, N.Y.",4.5
Waikiki Beach,"Honolulu, Hawaii",4.5
Grand Canyon,Arizona,4.41
Busch Gardens Tampa Bay,"Tampa, Florida",4.4
Cape Cod National Seashore,"Barnstable County, Massachusetts",4.35
SeaWorld San Diego,"San Diego, California",4.26
American Museum of Natural History,"Manhattan, New York City",4
,,
,,
,,
